Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
SCHW,268,268.0,market,buy,,65.419925,filled,2023-08-07 13:30:39.073909+00:00,2023-08-07 13:30:53.443926+00:00
VRTX,51,51.0,market,buy,,343.35,filled,2023-08-07 13:30:31.489307+00:00,2023-08-07 13:30:37.602592+00:00
LIN,46,46.0,market,buy,,381.44,filled,2023-08-07 13:30:05.450223+00:00,2023-08-07 13:30:30.124552+00:00
VRTX,75,75.0,market,buy,,340.46,filled,2023-08-04 19:58:16.201884+00:00,2023-08-04 19:58:17.087269+00:00
TMO,47,47.0,market,buy,,548.77,filled,2023-08-04 19:58:16.123945+00:00,2023-08-04 19:58:16.517560+00:00
TJX,303,303.0,market,sell,,85.42,filled,2023-08-04 19:58:16.021541+00:00,2023-08-04 19:58:16.948762+00:00
T,1854,1854.0,market,sell,,14.01,filled,2023-08-04 19:58:15.930870+00:00,2023-08-04 19:58:16.932563+00:00
SPY,125,125.0,market,buy,,446.72728,filled,2023-08-04 19:58:15.846264+00:00,2023-08-04 19:58:17.607732+00:00
PG,166,166.0,market,buy,,155.35,filled,2023-08-04 19:58:15.747818+00:00,2023-08-04 19:58:15.929228+00:00
PFE,373,373.0,market,buy,,34.99,filled,2023-08-04 19:58:15.656407+00:00,2023-08-04 19:58:16.990037+00:00
ORCL,228,228.0,market,buy,,114.410044,filled,2023-08-04 19:58:15.563672+00:00,2023-08-04 19:58:17.576762+00:00
LMT,58,58.0,market,sell,,445.62431,filled,2023-08-04 19:58:15.482236+00:00,2023-08-04 19:58:17.969457+00:00
KO,423,423.0,market,buy,,60.68,filled,2023-08-04 19:58:15.375699+00:00,2023-08-04 19:58:16.624615+00:00
JPM,167,167.0,market,sell,,156.03,filled,2023-08-04 19:58:15.282809+00:00,2023-08-04 19:58:15.526538+00:00
JNJ,153,153.0,market,buy,,168.745752,filled,2023-08-04 19:58:15.184914+00:00,2023-08-04 19:58:16.470907+00:00
ISRG,83,83.0,market,buy,,309.19,filled,2023-08-04 19:58:15.076387+00:00,2023-08-04 19:58:16.029969+00:00
IBM,180,180.0,market,buy,,144.311056,filled,2023-08-04 19:58:15.008138+00:00,2023-08-04 19:58:16.054952+00:00
GE,232,232.0,market,sell,,112.967889,filled,2023-08-04 19:58:14.889982+00:00,2023-08-04 19:58:17.136265+00:00
DHR,50,50.0,market,buy,,254.47,filled,2023-08-04 19:58:14.798789+00:00,2023-08-04 19:58:15.130512+00:00
COST,46,46.0,market,sell,,551.63,filled,2023-08-04 19:58:14.714828+00:00,2023-08-04 19:58:16.188667+00:00
ADP,105,105.0,market,buy,,245.623238,filled,2023-08-04 19:58:14.618914+00:00,2023-08-04 19:58:16.107554+00:00
ABT,243,243.0,market,buy,,107.673498,filled,2023-08-04 19:58:14.527864+00:00,2023-08-04 19:58:17.521947+00:00
AAPL,136,136.0,market,buy,,182.29,filled,2023-08-04 19:58:14.428824+00:00,2023-08-04 19:58:15.682756+00:00
BA,112,112.0,trailing_stop,sell,231.38635,231.32,filled,2023-08-04 19:48:07.999125+00:00,2023-08-04 19:48:08.316975+00:00
ELV,55,55.0,trailing_stop,sell,462.95,462.76,filled,2023-08-04 19:36:49.381821+00:00,2023-08-04 19:36:50.619196+00:00
SCHW,396,396.0,trailing_stop,sell,64.72435,64.71,filled,2023-08-04 19:10:15.020339+00:00,2023-08-04 19:10:16.402325+00:00
BAC,832,832.0,trailing_stop,sell,31.19495,31.19,filled,2023-08-04 19:08:20.574639+00:00,2023-08-04 19:08:21.991189+00:00
